frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
1103,1,falling,2085.5,102.171,3,135,1213.1,221.3,134.664,27.475,0.3,0.146,110.1,1203.0,166.0,0.3,27.475,4.901,0.146,0.825,0,60.827,0.9269,0.5631,0.0,206.7,,,65.625,
1105,2,falling,3674.0,99.529,3,132,1203.3,322.5,166.242,39.382,10.7,0.108,147.0,1203.0,242.0,10.7,39.382,4.221,0.169,0.734,0,80.914,1.233,0.749,0.6674,105.5,101.673,304691.43,65.625,4642.92
1110,3,falling,1812.0,101.192,3,130,1197.4,83.7,119.336,26.935,166.7,0.142,112.1,1200.0,145.0,166.7,26.935,4.431,0.162,0.753,0,56.695,0.8639,0.5248,2.3359,344.3,238.873,715846.22,65.625,10908.13
1112,4,falling,4461.0,95.699,3,132,1212.1,294.0,205.532,42.757,6.5,0.123,150.7,1183.0,362.0,6.5,42.757,4.807,0.134,0.749,0,93.744,1.4285,0.8678,3.0032,134.0,210.813,631757.75,65.625,9626.78
1118,5,falling,2888.0,102.901,3,132,1214.0,230.6,164.063,30.624,1.0,0.164,132.1,1199.0,298.0,1.0,30.624,5.357,0.137,0.829,0,70.882,1.0801,0.6561,5.0054,197.4,63.428,190080.29,65.625,2896.46
1119,6,falling,5372.0,97.976,3,133,1217.4,259.1,230.485,45.282,3.8,0.189,168.8,1188.0,338.0,3.8,45.282,5.09,0.129,0.807,0,102.16,1.5567,0.9457,5.3391,168.9,28.702,86013.46,65.625,1310.68
1121,7,falling,2877.0,104.976,3,132,1211.2,245.8,147.46,32.58,3.7,0.131,140.1,1197.0,314.0,3.7,32.58,4.526,0.168,0.752,0,69.312,1.0562,0.6416,6.0065,182.2,14.674,43974.93,65.625,670.09
1122,8,falling,3128.5,105.05,3,134,1212.4,219.9,168.588,33.223,0.3,0.156,146.0,1199.0,294.0,0.3,33.223,5.074,0.14,0.767,0,74.84,1.1404,0.6928,6.3402,208.1,25.928,77699.52,65.625,1183.99
1125,9,falling,1959.0,100.988,3,131,1202.6,303.6,125.076,28.697,8.3,0.138,111.5,1183.0,352.0,8.3,28.697,4.359,0.159,0.74,0,59.911,0.9129,0.5546,7.3412,124.4,84.272,252542.79,65.625,3848.27
1132,10,falling,10099.5,59.155,1,166,633.5,72.2,115.319,111.526,54.5,0.665,117.1,691.0,60.0,54.5,111.526,1.034,0.967,0.978,0,113.407,1.7281,1.0498,9.6771,355.8,614.346,1841050.93,65.625,28054.11
1136,11,falling,5528.5,96.062,3,133,1128.3,336.4,195.115,145.977,54.3,0.108,178.5,1125.0,415.0,54.3,145.977,1.337,0.185,0.6,0,168.767,2.5717,1.5623,11.0119,91.6,560.918,1680939.4,65.625,25614.31
1137,12,falling,5091.5,97.651,3,133,1186.5,335.7,146.029,79.917,31.0,0.114,172.7,1136.0,411.0,31.0,79.917,1.827,0.304,0.669,0,108.028,1.6461,1.0,11.3456,92.3,58.204,174424.42,65.625,2657.9
1138,13,falling,2463.5,95.007,3,127,1191.3,342.3,113.269,41.142,20.2,0.113,117.7,1155.0,395.0,20.2,41.142,2.753,0.244,0.679,0,68.265,1.0402,0.6319,11.6793,85.7,8.161,24456.26,65.625,372.67
1140,14,falling,3576.5,106.399,3,134,1210.7,179.2,193.919,34.923,176.6,0.135,161.3,1198.0,262.0,176.6,34.923,5.553,0.121,0.758,0,82.294,1.254,0.7618,12.3466,248.8,164.25,492218.05,65.625,7500.47
1143,1,spreading,,,,,,428,,,,,,,,,,,0.0,,66,,,0.611,13.3477,0,,,65.625,
1144,2,spreading,,,,,,428,,,,,,,,,,,0.0,,127,,,1.1756,13.6814,0,,,65.625,
1145,3,spreading,,,,,,428,,,,,,,,,,,0.0,,184,,,1.7033,14.0151,0,,,65.625,
1146,4,spreading,,,,,,428,,,,,,,,,,,0.0,,222,,,2.055,14.3488,0,,,65.625,
1147,5,spreading,,,,,,428,,,,,,,,,,,0.0,,247,,,2.2864,14.6825,0,,,65.625,
1148,6,spreading,,,,,,428,,,,,,,,,,,0.0,,264,,,2.4438,15.0162,0,,,65.625,
