frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
327,falling,1215.2,313.4,31.1,,hough,1.0,0.9476,0.8506,,0.0,,65.625,True
328,falling,1225.0,189.9,32.9,,hough,1.0,1.0025,0.8999,5657.36,0.3337,123.888,65.625,False
329,falling,1226.0,228.2,32.1,,hough,1.0,0.9771,0.8771,1749.57,0.6674,38.313,65.625,False
330,falling,1223.3,261.3,31.1,,hough,1.0,0.9465,0.8496,1516.53,1.0011,33.21,65.625,False
331,falling,1223.7,238.3,37.8,,hough,1.0,1.1509,1.0331,1050.45,1.3348,23.003,65.625,False
332,falling,1228.6,210.8,36.2,,hough,1.0,1.1035,0.9905,1275.57,1.6685,27.933,65.625,False
333,falling,1222.2,279.9,38.2,,hough,1.0,1.1647,1.0455,3168.96,2.0022,69.396,65.625,False
334,falling,400.0,344.0,36.6,,template,0.3118,1.114,1.0,37659.7,2.3359,824.695,65.625,False
335,falling,1223.7,234.1,37.5,,hough,1.0,1.1423,1.0254,37947.59,2.6695,830.999,65.625,False
336,falling,1221.3,236.5,38.0,,hough,1.0,1.159,1.0403,154.99,3.0032,3.394,65.625,False
337,falling,1226.3,216.0,39.1,,hough,1.0,1.1922,1.0701,963.58,3.3369,21.101,65.625,False
338,falling,1218.7,146.7,37.9,,hough,1.0,1.1538,1.0357,3183.56,3.6706,69.715,65.625,False
339,falling,1215.8,141.4,25.0,,hough,1.0,0.7604,0.6826,275.89,4.0043,6.042,65.625,False
340,falling,1199.9,77.9,21.9,,hough,1.0,0.6687,0.6002,2989.25,4.338,65.46,65.625,False
341,falling,1226.2,238.9,37.2,,hough,1.0,1.1348,1.0186,7449.51,4.6717,163.134,65.625,False
342,falling,1225.8,208.0,30.7,,hough,1.0,0.9344,0.8387,1411.17,5.0054,30.903,65.625,False
343,falling,1225.0,227.8,32.1,,hough,1.0,0.9796,0.8794,904.9,5.3391,19.816,65.625,False
344,falling,1259.1,110.6,78.1,,hough,1.0,2.3791,2.1356,5573.87,5.6728,122.06,65.625,False
345,falling,1184.9,400.5,30.7,,hough,1.0,0.9357,0.8399,13665.03,6.0065,299.245,65.625,False
346,falling,1225.0,190.2,30.8,,hough,1.0,0.938,0.8419,9776.38,6.3402,214.089,65.625,False
347,falling,1226.2,212.3,36.1,,hough,1.0,1.1004,0.9877,1010.68,6.6739,22.133,65.625,False
348,falling,1219.2,178.9,22.8,,hough,1.0,0.695,0.6238,1558.35,7.0076,34.126,65.625,False
349,falling,1217.7,129.0,40.1,,hough,1.0,1.2229,1.0977,2279.71,7.3412,49.923,65.625,False
350,falling,1221.4,190.3,35.4,,hough,1.0,1.0804,0.9698,2804.36,7.6749,61.412,65.625,False
351,falling,1224.4,232.6,39.0,,hough,1.0,1.1894,1.0676,1936.48,8.0086,42.406,65.625,False
352,falling,1199.4,83.9,20.4,,hough,1.0,0.6209,0.5573,6885.69,8.3423,150.787,65.625,False
353,falling,1216.5,307.1,33.2,,hough,1.0,1.0116,0.908,10222.3,8.676,223.854,65.625,False
354,falling,634.0,104.0,36.6,,template,0.6422,1.114,1.0,28170.39,9.0097,616.892,65.625,False
355,falling,1223.1,253.8,35.7,,hough,1.0,1.0895,0.978,27757.37,9.3434,607.848,65.625,False
356,falling,1225.2,189.0,37.3,,hough,1.0,1.1379,1.0214,2960.65,9.6771,64.834,65.625,False
